Media,BT_Score,Std_Error,Rating
Finest moments: Travel,111.91,0.341,4
Love: Marriage,111.38,0.341,4
Childhood: Travel,111.37,0.341,4
Interests,111.29,0.341,4
Language: Contexts,111.25,0.341,4
Love: Types,110.68,0.341,4
Beliefs: Children's,110.35,0.341,4
Funny experiences,110.12,0.341,4
Beliefs: Societal,109.41,0.341,4
Books: Reading,109.3,0.341,4
Childhood: Dreams,108.87,0.341,4
Books: Meanings,108.75,0.341,4
Quotations: Historic people,108.63,0.341,4
Finest moments: Helping,108.3,0.341,4
Day's happenings: Improvements and worsenings,107.44,0.341,4
Funny experiences: Cooking,107.41,0.341,4
Books: Controversial,106.94,0.341,4
Day's happenings: Pets,106.78,0.341,4
Childhood: Sacrifices,106.3,0.341,4
Finest moments: Self-insight,105.87,0.341,4
Dreams: Feelings,105.78,0.341,4
Books: Classics,105.53,0.341,4
Childhood: Creations,105.0,0.341,4
Childhood: Development,104.77,0.341,4
Consolations,104.69,0.341,4
Things never before discussed: Quirks,104.31,0.341,4
Fears: Scientific or technological hubris,103.88,0.341,4
Funny experiences: Absurd,103.34,0.341,4
Observations: Asymmetries,103.21,0.341,4
Changes: Motivations,102.91,0.341,4
Childhood: Parents,102.8,0.341,4
Funny experiences: Friends,102.56,0.341,4
Dreams: Themes,102.45,0.341,4
Childhood: Siblings,102.32,0.341,4
One's relationship with the other person,102.25,0.341,4
Love: Risks,102.05,0.341,4
Appearances: Illusory and delusory,101.96,0.341,4
Love: Suggestions and advice,101.84,0.341,4
Childhood: Feelings,101.68,0.341,3
Childhood: Surprises,101.57,0.341,3
Language: Sayings,101.43,0.341,3
Books: Comparison,101.25,0.341,3
Childhood: Struggles,101.09,0.341,3
One's own character,100.99,0.341,3
Language: Books on,100.84,0.341,3
Things never before discussed: Thoughts,100.73,0.341,3
Changes: Home life,100.21,0.341,3
Films: Themes,100.19,0.341,3
Love: Stages,100.16,0.341,3
Language: Nature,100.14,0.341,3
Childhood: Crises and traumas,99.88,0.341,3
Language: Teaching,99.72,0.341,3
Childhood: Upbringing,99.6,0.341,3
Observations: Children,99.56,0.341,3
Books: Themes,99.06,0.341,3
Errors: Paradoxical beneficiality,99.01,0.341,3
Things never before discussed: Virtues,98.89,0.341,3
Changes: Beliefs,98.55,0.341,3
Love: Starts,98.24,0.341,3
Beliefs: Hypothetical,98.07,0.341,3
Things never before discussed: Random,98.06,0.341,3
Progress,98.05,0.341,3
Childhood: Advantages and disadvantages,98.0,0.341,3
Predictions and guesses: Importance,97.97,0.341,3
Language: Shibboleths,97.89,0.341,3
Childhood: Revelations,97.68,0.341,3
Beliefs: Critical,97.64,0.341,3
Customs: Cooking,97.59,0.341,3
Finest moments: Virtue,97.5,0.341,3
Language: Word play,97.38,0.341,3
Films: Psychology,97.26,0.341,3
Science,97.1,0.341,3
Worries: Intelligence,97.09,0.341,3
Beliefs: Original vs derivative,97.03,0.341,3
Funny experiences: Eating,96.87,0.341,3
Truth and falsehood,96.7,0.341,3
Predictions and guesses: Origin,96.53,0.341,3
Books: Surprising,96.37,0.341,3
Worries: Ecology,96.3,0.341,3
Options,96.27,0.341,3
Mysteries,96.02,0.341,3
Appearances: Changes and transformations,95.9,0.341,3
Language: Etymology,95.78,0.341,3
Worries: Thoughts,95.76,0.341,3
Changes: Organization of life,95.72,0.341,3
Finest moments: Creation,95.63,0.341,3
Beliefs: Interpretive,95.58,0.341,3
Day's happenings: Needs,95.58,0.341,3
Day's happenings: Opportunities,95.46,0.341,3
Films: Analysis,95.31,0.341,3
Day's happenings: Combination,95.25,0.341,3
Finest moments: Being helped,95.23,0.341,3
Day's happenings: Importance,95.18,0.341,3
Conflicts and disagreements: Childhood,94.95,0.341,3
Childhood: Finest moments,94.93,0.341,3
Quotations: Self,94.56,0.341,3
Day's happenings: Advice and suggestions,94.49,0.341,3
Books: Achievements,94.46,0.341,3
Childhood: Favorites,94.44,0.341,3
Observations: Qualities,94.36,0.341,3
Language: Misnomers,94.07,0.341,3
Childhood,93.8,0.341,3
Language: Functions,93.76,0.341,3
Human nature,93.7,0.341,3
Worries: Friends,93.55,0.341,3
Love: Thoughts,93.19,0.341,3
Changes: Groups,92.79,0.341,3
Films: Symbolism,92.77,0.341,3
Tastes: Friends,92.7,0.341,3
Beliefs: Contradictions,92.66,0.341,3
Worries: Effects,92.32,0.341,3
Childhood: Beliefs,92.24,0.341,3
Childhood: Reversals,92.16,0.341,3
Day's happenings: Pleasures,92.11,0.341,3
Dreams: Best,92.05,0.341,3
Quotations: Father,92.0,0.341,3
Oddities,91.92,0.341,3
Books: Author,91.71,0.341,3
Fears: Divine justice or caprice,91.59,0.341,3
Observations: Style,91.47,0.341,3
Language: Inconsistencies,91.41,0.341,3
Errors: Decision making,91.33,0.341,3
Observations: Phenomena,91.32,0.341,3
Beliefs: Society's,91.01,0.341,3
Films: Relationships,90.91,0.341,3
Beliefs: Educational,90.87,0.341,3
Responsibilities,90.78,0.341,3
Predictions and guesses: Analogy,90.74,0.341,3
Books: Juvenile,90.7,0.341,3
Language: Eponyms,90.57,0.341,3
Language: Unusual words,90.45,0.341,3
Childhood: Rivals,89.95,0.341,3
Beauty: Nature of,89.77,0.341,3
Childhood: Illusions,89.06,0.341,3
Love: Funny things,89.01,0.341,3
Worries: Circumstances,88.92,0.341,3
Significance of events,88.69,0.341,3
Childhood: House,88.53,0.341,3
Errors: Children,88.3,0.341,3
Nature,88.16,0.341,3
Predictions and guesses: Cause,87.99,0.341,3
Changes: Eating,87.92,0.341,3
Fears: Revolutionary change,87.85,0.341,3
Homelife,87.54,0.341,3
History,86.85,0.341,3
Language: Idioms,86.57,0.341,3
Trends,83.84,0.341,3
Dislikes: Values,83.46,0.341,3
Finest moments: Celebration,83.36,0.341,3
Dreams: Present,83.35,0.341,3
Things never before discussed: Defects,83.29,0.341,3
Errors: Social interaction,83.2,0.341,3
Day's happenings: Society,82.88,0.341,3
Childhood: Own personality,82.76,0.341,3
Love: Present,82.63,0.341,3
Strategy,81.99,0.341,3
Predictions and guesses: Interrelations,81.11,0.341,3
Day's happenings: Feelings,80.71,0.341,3
Beliefs: Other person's,80.51,0.341,3
Love: Psychology,80.28,0.341,3
Finest moments: Cooperation,80.21,0.341,3
Childhood: Homelife,79.98,0.341,3
Films: Recommended,79.93,0.341,3
Fears: Past,79.81,0.341,3
Childhood: Situations,79.63,0.341,3
Things never before discussed: Hurts,79.34,0.341,3
Childhood: Self-mastery,78.04,0.341,3
Fears: Dystopian future,77.75,0.341,3
Childhood: Help,77.54,0.341,3
Day's happenings: Encounters,77.04,0.341,3
Observations: Patterns,76.52,0.341,3
Dreams: Experiments,76.27,0.341,3
Funny experiences: Nature,76.22,0.341,3
Language: Own,76.11,0.341,3
Fundamentals,76.03,0.341,3
Films: Thoughts,75.97,0.341,3
Dreams: Childhood,75.94,0.341,3
Tastes: Visual art,75.9,0.341,3
Funny experiences: Pets,75.87,0.341,3
Observations: Laws or rules,75.64,0.341,3
Beliefs: Comparisons,75.4,0.341,3
Films: Foreign,75.33,0.341,3
Worries: Character,75.31,0.341,3
Worries: Causes,75.04,0.341,3
Beliefs: Present,74.92,0.341,3
Beauty: Literary,74.61,0.341,3
Books: Historical books,74.56,0.341,3
Beliefs: Assumptions,74.55,0.341,3
Books: Fiction,74.55,0.341,3
Beliefs: Strategic,74.48,0.341,3
Changes: Other person,74.43,0.341,3
Childhood: Rites of passage,74.3,0.341,3
Childhood: Roles,74.3,0.341,3
Conflicts and disagreements: Feelings,74.2,0.341,3
Language: Connotations,74.15,0.341,3
Observations: Mores or habits,74.07,0.341,3
Tastes: Flowers and plants,74.04,0.341,3
Day's happenings: Decisions,73.94,0.341,3
Errors: Causes,73.87,0.341,3
Finest moments: Change,73.75,0.341,3
Language: Psychology,73.56,0.341,3
Implications,73.45,0.341,3
Opportunities,73.45,0.341,3
Day's happenings: Offers and proposals,73.37,0.341,3
Conflicts and disagreements: Help,73.22,0.341,3
Things never before discussed: Differences,73.22,0.341,3
Beliefs: Historical,73.13,0.341,3
Books: Nonfiction,73.12,0.341,3
Errors: Creativity,72.95,0.341,3
Finest moments: Responsibility,72.8,0.341,3
Childhood: Oddities,72.79,0.341,3
Changes: Psychology,72.32,0.341,3
Worries: Stresses and strains,72.23,0.341,3
Worries: Connections,72.22,0.341,3
Changes: Relationships,72.2,0.341,3
Fears: Effects,72.14,0.341,3
Childhood: Achievements,71.98,0.341,3
Observations: Actions,71.78,0.341,3
Appearances: Self,71.78,0.341,3
Tastes: Literature,71.53,0.341,3
Love: In the arts,71.47,0.341,3
Worries: Paradoxes,71.45,0.341,3
Fears: Aging and old age,71.33,0.341,3
Motivations,71.24,0.341,3
Wishes,71.23,0.341,3
Errors: Crisis management and resolution,71.15,0.341,3
Beauty: Scientific,71.02,0.341,3
Errors: Simple and complex,70.99,0.341,3
Changes: Academic,70.91,0.341,3
Fears: Ignorance,70.87,0.341,3
Films: Reflections,70.84,0.341,3
Funny experiences: Future,70.83,0.341,3
Observations: Fundamentals,70.81,0.341,3
Clarifications,70.8,0.341,3
Causes,70.76,0.341,3
Films: Message,70.68,0.341,3
Language: Dialects,70.54,0.341,3
Beauty: Aspects,70.51,0.341,3
Fears: Irrelevance,70.48,0.341,3
Finest moments: Imaginable,70.43,0.341,3
Predictions and guesses: Value,70.24,0.341,3
Fears: Exclusion,70.12,0.341,3
Fears: Obsolescence of knowledge or skills,70.1,0.341,3
Dreams: Persons,70.04,0.341,3
Books: Style,70.01,0.341,3
Books: Life works,70.0,0.341,3
Worries: Finance,69.99,0.341,3
Childhood: Teachers,69.85,0.341,3
Tastes: Morals,69.82,0.341,3
Tastes: Cinema,69.77,0.341,3
Language: Figures of speech,69.7,0.341,3
Beliefs: Self-questionable,69.7,0.341,3
Language: Applications,69.51,0.341,3
Childhood: Experiments,69.44,0.341,3
Language: Limitations,69.25,0.341,3
Love: Degrees,69.22,0.341,3
Day's happenings: Value,69.16,0.341,3
Funny experiences: Improbable,69.05,0.341,3
Impressions,69.01,0.341,3
Love: Plans and intentions,68.87,0.341,3
Tradeoffs,68.87,0.341,3
Worries: Tradeoffs,68.83,0.341,3
Books: Histories,68.8,0.341,3
Books: Best or better,68.78,0.341,3
Day's happenings: Expectations,68.77,0.341,3
Customs: Entertainment,68.37,0.341,3
Childhood: Idols,68.32,0.341,3
Language: Ancient,68.32,0.341,3
Worries: Decisions,68.27,0.341,3
Films: Interactions,68.18,0.341,3
Stresses and strains,68.17,0.341,3
Worries: House,68.06,0.341,3
Day's happenings: Questions,67.99,0.341,3
Quotations: Teacher,67.83,0.341,3
Books: Self-written diary or other,67.57,0.341,3
Worries: Present,67.41,0.341,3
Dislikes: Morals,67.36,0.341,3
Day's happenings: Knowledge,67.13,0.341,3
Language: Situations,67.07,0.341,3
Fears: Children's,67.04,0.341,3
Fears: Scope,66.8,0.341,3
Books: Childhood,66.59,0.341,3
Quotations: Poem,66.57,0.341,3
Beliefs: Secret,66.53,0.341,3
Language: Place names,66.42,0.341,3
Beliefs: Friends',66.37,0.341,3
Conflicts and disagreements: Friend,65.9,0.341,3
Observations: Persons,65.68,0.341,3
Observations: Deeds,65.68,0.341,3
Books: Analogous,65.63,0.341,3
Dreams: Daydreams,65.51,0.341,3
Films: Acting,65.41,0.341,3
Errors: Feeling,65.3,0.341,3
Funny experiences: Shopping,64.75,0.341,3
Books: Future plans,64.5,0.341,3
Observations: The other,64.34,0.341,3
Changes: Problems,64.24,0.341,3
Errors: Responding to emergencies,63.97,0.341,3
Observations: Manners,63.97,0.341,3
Predictions and guesses: Change,63.83,0.341,3
Art,63.8,0.341,3
Beauty: Moral,63.61,0.341,3
Customs,63.58,0.341,3
Childhood: Rebellion,63.44,0.341,3
Day's happenings: School,63.39,0.341,3
Childhood: Imperfections,63.11,0.341,3
Tastes: Countries,63.04,0.341,3
Love: Past,63.01,0.341,3
Lessons,62.97,0.341,3
Childhood: Social events,62.53,0.341,3
Society,62.24,0.341,3
Predictions and guesses: Ability,62.24,0.341,3
Conflicts and disagreements: Religion,62.14,0.341,3
Appearances: Future,62.13,0.341,3
Food,62.03,0.341,2
Fears: Pain,61.88,0.341,2
Love: Meetings,61.7,0.341,2
Language: Messages,61.56,0.341,2
Customs: Wilderness,61.43,0.341,2
Conflicts and disagreements: Choice,60.87,0.341,2
Proof,60.44,0.341,2
Childhood: Judgements of others (then),60.38,0.341,2
Predictions and guesses: Use,60.21,0.341,2
Things never before discussed: Motives,60.08,0.341,2
Childhood: Discipline,59.39,0.341,2
Day's happenings: Scenarios,59.05,0.341,2
Destiny,58.9,0.341,2
Language: Writing,58.8,0.341,2
Changes: Place of residence,58.52,0.341,2
Tastes: Historical periods,58.25,0.341,2
Books: Books history,58.24,0.341,2
Worries: Values,58.2,0.341,2
Love: One's own,58.09,0.341,2
Rivalries: Friends,57.96,0.341,2
Love: Problems,57.91,0.341,2
Predictions and guesses: Surprise,57.56,0.341,2
Love: Doubts and suspicions,57.55,0.341,2
Observations: Things,57.5,0.341,2
Films: Compared,57.36,0.341,2
Conflicts and disagreements: Logic,57.23,0.341,2
Language: New words,56.98,0.341,2
Quotations: Imaginary,56.92,0.341,2
Language: Rhetoric and oratory,56.85,0.341,2
Finest moments: Freedom,56.41,0.341,2
Funny experiences: Lengthy or ongoing,56.19,0.341,2
Changes: Ideas,56.13,0.341,2
Explanations,56.11,0.341,2
Day's happenings: Spectrum,56.0,0.341,2
Books: Read,55.99,0.341,2
One's locale,55.75,0.341,2
Fears: Rejection,55.61,0.341,2
Day's happenings: Purposes and motives,55.51,0.341,2
Fears: Parents',55.43,0.341,2
Day's happenings: Family,55.19,0.341,2
Childhood: Extended family,55.12,0.341,2
Beliefs: Practical,55.07,0.341,2
Errors: Importance,54.88,0.341,2
Observations: Creatures,54.7,0.341,2
Conditions,54.53,0.341,2
Books: Raison d'etre,54.46,0.341,2
Funny experiences: Work,54.42,0.341,2
Language: Ghost words,54.34,0.341,2
Dreams: Importance,54.3,0.341,2
Childhood: Transitions,54.29,0.341,2
Beliefs: Predictive,54.1,0.341,2
Observations: Correlations,53.65,0.341,2
Observations: Instruments and media,53.52,0.341,2
Quotations: Mother,53.26,0.341,2
Things never before discussed: Criticisms,53.21,0.341,2
Predictions and guesses: Truth,53.19,0.341,2
Errors: Following instructions,53.17,0.341,2
Day's happenings: Memories,53.1,0.341,2
Worries: Job,52.85,0.341,2
Changes: Capacities,52.72,0.341,2
Fears: Ananke,52.29,0.341,2
Day's happenings: Humor,52.14,0.341,2
Conflicts and disagreements: Principle,52.1,0.341,2
Books: Guides,52.1,0.341,2
Funny experiences: Driving,52.07,0.341,2
Language: Pet expressions,52.04,0.341,2
Books: Plots,51.96,0.341,2
Dreams: Past,51.87,0.341,2
Love: Wishes,51.83,0.341,2
Love: Fallacies,51.71,0.341,2
Changes: Attitudes,51.69,0.341,2
Finest moments: Thoughts,51.65,0.341,2
Love: Comparisons,51.55,0.341,2
Worries: Childhood,51.53,0.341,2
Reflections,51.52,0.341,2
Beliefs: Artistic or aesthetic,51.52,0.341,2
Films: Techniques,51.38,0.341,2
Observations: Design,51.33,0.341,2
Fears: Nihilism,51.32,0.341,2
Scenarios,51.29,0.341,2
Childhood: Advice given,51.05,0.341,2
Predictions and guesses: Meaning,50.9,0.341,2
The calendar,50.84,0.341,2
Childhood: Comparisons of own and others,50.84,0.341,2
Funny experiences: Hobbies,50.75,0.341,2
Day's happenings: Difference,50.62,0.341,2
Day's happenings: Options and alternatives,50.61,0.341,2
Day's happenings: Plans,50.57,0.341,2
Worries: Society,50.54,0.341,2
Books: Messages,50.4,0.341,2
Funny experiences: Romantic,50.35,0.341,2
Courses plans and intentions,50.33,0.341,2
Beliefs: New,50.32,0.341,2
Predictions and guesses: Nature,50.22,0.341,2
Films: Drama,50.21,0.341,2
Day's happenings: Social event,50.19,0.341,2
Reasons for things,50.15,0.341,2
Worries: Challenges,50.08,0.341,2
Dreams: Recurring,49.87,0.341,2
Funny experiences: Others' pranks,49.85,0.341,2
Day's happenings: Oddity,49.83,0.341,2
Books: Other languages,49.67,0.341,2
Day's happenings: Conversations,49.65,0.341,2
Beliefs: Applications,49.64,0.341,2
Dreams: Sequences,49.62,0.341,2
Predictions and guesses: Alternative,49.61,0.341,2
Meanings,49.49,0.341,2
Conflicts and disagreements: Why,49.3,0.341,2
Day's happenings: Evolutions and developments,49.24,0.341,2
Worries: Relationships,49.21,0.341,2
Changes: Values,49.04,0.341,2
Philosophy,48.96,0.341,2
Love: Touchstones,48.95,0.341,2
Films: Atmospheres,48.95,0.341,2
Worries: Safety,48.66,0.341,2
Films: Development,48.6,0.341,2
Day's happenings: Observations,48.52,0.341,2
Changes: Style,48.5,0.341,2
Films: Dialog,48.45,0.341,2
Appearances: Functions and reasons,48.43,0.341,2
Quotations: Conversations past,48.43,0.341,2
Beliefs: Alternative,48.38,0.341,2
Errors: Experimentation,48.27,0.341,2
Predictions and guesses: Psychology,48.21,0.341,2
Mental associations,48.15,0.341,2
Language: Usages,48.15,0.341,2
Errors: Attention,47.97,0.341,2
Books: Humor and recreational,47.88,0.341,2
Quotations: Other person,47.87,0.341,2
Books: Same subject or theme,47.75,0.341,2
Language: Comparisons,47.75,0.341,2
Films: Ideas,47.57,0.341,2
Beauty,47.55,0.341,2
Day's happenings: Effect,47.42,0.341,2
Films: Synthesis,47.41,0.341,2
Conflicts and disagreements: Society,47.26,0.341,2
Finest moments: Security,47.25,0.341,2
Observations: Activities,47.1,0.341,2
Childhood: Sports,47.05,0.341,2
Quotations: Movie,46.96,0.341,2
Observations: Symmetries,46.91,0.341,2
Conflicts and disagreements: Preference,46.78,0.341,2
Quotations: Bible,46.74,0.341,2
Predictions and guesses: Dimensions,46.73,0.341,2
Fears: Spouse's,46.7,0.341,2
Things never before discussed: Possessions,46.7,0.341,2
Day's happenings: Transformations,46.66,0.341,2
Observations: Reactions,46.59,0.341,2
Beliefs: Elements,46.58,0.341,2
Observations: Events,46.54,0.341,2
Observations: Mechanisms,46.45,0.341,2
Worries: Promises,46.44,0.341,2
Intellectual problems,46.31,0.341,2
Observations: Weather,46.29,0.341,2
Books: Quotations,46.24,0.341,2
Books: Collections,46.17,0.341,2
Childhood: Misunderstandings,46.05,0.341,2
Funny experiences: Own pranks,45.98,0.341,2
Fears: Misunderstanding,45.91,0.341,2
Fears: Failure,45.9,0.341,2
Day's happenings: Self,45.78,0.341,2
Day's happenings: Who,45.74,0.341,2
Finest moments: School,45.71,0.341,2
Day's happenings: Dreams,45.62,0.341,2
Fears: Responsibility,45.55,0.341,2
Customs: Traveling,45.51,0.341,2
Films: Description,45.37,0.341,2
Errors: Correction,45.3,0.341,2
Dreams: Events,45.29,0.341,2
Observations: Processes,45.26,0.341,2
Worries: Creations,44.93,0.341,2
Books: Biographies,44.92,0.341,2
Books: Sequels,44.79,0.341,2
Day's happenings: Metaphors,44.75,0.341,2
Day's happenings: Wishes,44.75,0.341,2
Changes: Tastes,44.66,0.341,2
Errors: Tactics and strategy,44.63,0.341,2
Films: Details,44.6,0.341,2
Beliefs: Trends,44.48,0.341,2
Funny experiences: Challenging,44.48,0.341,2
Tastes: Music,44.38,0.341,2
Observations: Interactions,44.35,0.341,2
Predictions and guesses: Function,44.34,0.341,2
Changes: Habits,44.23,0.341,2
Beliefs: Synthetic,44.19,0.341,2
Books: Useful,44.1,0.341,2
Beauty: Society,43.87,0.341,2
Things previously discussed: Concepts,43.73,0.341,2
Books: Best-sellers,43.72,0.341,2
Customs: Getting information,43.61,0.341,2
Language: Subsenses,43.29,0.341,2
Funny experiences: Health,43.25,0.341,2
Conflicts and disagreements: Future,43.23,0.341,2
Worries: Contradiction,43.04,0.341,2
Childhood: Luck,42.97,0.341,2
Regrets,42.69,0.341,2
Dreams,42.59,0.341,2
Predictions and guesses: Beliefs,42.57,0.341,2
Love: Other person's,42.51,0.341,2
Fears: Normlessness,42.34,0.341,2
Day's happenings: Details,42.34,0.341,2
Observations: Confirmations,42.33,0.341,2
Day's happenings: Coincidences,42.28,0.341,2
Funny experiences: Enigmatic,42.03,0.341,2
Conflicts and disagreements: Inclusion,42.02,0.341,2
Day's happenings: Comparison,40.85,0.341,2
Films: Preview,40.49,0.341,2
Observations: Locations,40.37,0.341,2
Love: Alternative courses,39.67,0.341,2
Tastes: Smells,39.61,0.341,2
Language: Style and styles,39.57,0.341,2
Language: Affixes,39.05,0.341,2
Love: Symptoms,38.7,0.341,2
Language: Trends,38.5,0.341,2
